plant,nom d'équipement,ID Technique,Process,nom master data,emplacement ,Immo Number,numéro de série,"année 
(plaque signalitique)",commersialisation d'équipement ,commersialisation PDR ,age ,D(degradabilite ,HP ( heure de production ),HP coef,P pdr ( piece de rechange),"MT (deux facteur mttr et mtbf ) mttr : main time to repair , mtbf : main time between failure",T (technologie ,"Aging 
Result","Equipment
Staus",Physical status
LTN3B,alpha 355 S,ET00000199,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141120210,1127,2012,NON,OUI,13,0.4,5883,1,0,0,1,0.39,Bon,Bon
LTN3B,alpha 433 S,ET00000222,Cutting Machine Wire < 6mm2,Komax--Alpha 433 S,coupe,2141010701,698,2001,NON,NON,24,1,5883,1,1,0,1,0.95,Besoin Upgrade,Besoin Upgrade
LTN3B,alpha 433 ,ET00000204,Cutting Machine Wire < 6mm2,Komax--Alpha 433,coupe,2141030405,909,2002,NON,NON,23,1,5883,1,1,0,1,0.95,Besoin Upgrade,Besoin Upgrade
LTN3B,alpha 433 S,ET00000222,Cutting Machine Wire < 6mm2,Komax--Alpha 433 S,coupe,2141000906,115,1998,NON,NON,27,1,5883,1,1,0,1,0.95,Besoin Upgrade,Besoin Upgrade
LTN3B,gamma 333,ET00000311,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,214108716,3086,2008,NON,OUI,17,0.7,5883,1,0,0,1,0.57,Moyen,Moyen
LTN3B,gamma 333,ET00000311,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,21411120601,3812,2011,NON,OUI,14,0.4,5883,1,0,0,1,0.39,Bon,Bon
LTN3B,gamma 333,ET00000311,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,2141080714,3084,2008,NON,OUI,17,0.7,5883,1,0,0,1,0.57,Moyen,Moyen
LTN3B,gamma 333,ET00000311,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,4141071104,2292,2005,NON,OUI,20,0.7,5883,1,0,0,1,0.57,Moyen,Moyen
LTN3B,gamma 333,ET00000311,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,4141080201,2312,2005,NON,OUI,20,0.7,5883,1,0,0,1,0.57,Moyen,Moyen
LTN3B,kappa 330,ET00000231,Cutting Machine Cable > 6mm2,Komax--Kappa 330,coupe,,896,2018,NON,NON,7,0.4,5883,1,1,0,1,0.59,Moyen,Besoin Upgrade
LTN3B,schleuniger PS 9550,ET00000273,Cutting Machine Cable > 6mm2,Schleuniger--PowerStrip 9550,coupe,2141120301,125,2012,NON,OUI,13,0.4,5883,1,0,0,1,0.39,Bon,Bon
LTN3B,kappa240,ET00000229,Cutting Machine Cable > 6mm2,Komax--Kappa 240,coupe,2141030401,76,2002,NON,NON,23,1,5883,1,1,0,1,0.95,Besoin Upgrade,Besoin Upgrade
LTN3B,alpha 488 S,ET00000209,Cutting Machine Wire < 6mm2,Komax--Alpha 488 S,coupe,2141170301,1113,2015,NON,OUI,10,0.4,5883,1,0,0,1,0.39,Bon,Bon
LTN3B,alpha 488 S,ET00000209,Cutting Machine Wire < 6mm2,Komax--Alpha 488 S,coupe,2141050304,1165,2016,NON,OUI,9,0.4,5883,1,0,0,1,0.39,Bon,Bon
LTN3B,alpha 550,ET00000211,Cutting Machine Wire < 6mm2,Komax--Alpha 550,coupe,4141161203,72,2015,OUI,OUI,10,0.4,5883,1,0,0,0,0.34,Bon,Excellent
LTN3B,BT 188T,ET00001431,Twisting Machine,Komax--BT-188T,vkf,2280200301,605,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,mecalbi stcs bltts,ET00001572,Test Module,Mecalbi--STCS-BLTTS,vkf,,55,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200603,5535,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200604,5537-1,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,,6140-1,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210903,2614-3,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,kabatec kts 50 comfort ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143211103,1474,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,mecalbi vmir plus,ET00001356,Shrinking Machine Processor,Mecalbi--STCS-VMir+,vkf,,202,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210902,2614-2,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,meclabi stcs evo 500 ts,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200200703,223,2018,OUI,OUI,7,0.4,3920,0.75,0,0,0,0.315,Bon,Excellent
LTN3B,dsg canusa,ET00001006,Shrinking Machine Tunnel,DSG Canusa--DERAY FST- 165/ 600,vkf,2200231201,T04-M-44312/SB1009/062,2024,OUI,OUI,1,0,3920,0.75,0,0,0,0.075,Excellent,
LTN3B,kabatec kts 50 comfort ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,vkf,,1569,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200603,5537-2,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210905,2614-5,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,2110111004,2772-2,2011,NON,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200602,4257-6,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,mecalbi stcs evo 500 ts ,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200800701,507,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210904,2614-4,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,mecalbi stcs evo 500 ts ,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200200703,506,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,kabatec ktcx 20 (ktb e9p/e19p),ET00001097,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,,1038,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,kabatec kts 50 comfort ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143211104,1475,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110180701,8640,2018,OUI,OUI,7,0.4,3920,0.75,0,0,0,0.315,Bon,Excellent
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,8110191001,90077,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,kabatec kts 50 comfort ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143211101,1471,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,kabatec ktcx 20 (ktb e9p/e19p),ET00001097,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,4143190402,825,2019,OUI,OUI,6,0,3920,0.75,0,0,0,0.075,Excellent,
LTN3B,kabatec ktcx 20 (ktb e9p/e19p),ET00001097,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,2236201106,916,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210901,2614-1,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,meclabi stcs evo 500 ts,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200200702,558,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,mecalbi stcs evo 500 ts ,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200191001,409,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,,2712-1,2011,NON,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,kabatec kts 50 comfort ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143211101,1472,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 3 ,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200605,5532,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,,6140-2,2021,NON,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,kabatec kts 50 comfort ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143191001,1178,2019,OUI,OUI,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,2110110404,7393-3,2011,NON,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,mecalbi stcs evo 500 ts ,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,,425,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,mecalbi stcs evo 500 ts ,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,4200180601,198,2018,OUI,OUI,7,0.4,3920,0.75,0,0,0,0.315,Bon,
LTN3B,mecalbi stcs evo 500 ts ,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200180605,562,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,,6140-3,2021,NON,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,2110110801,3324-1,2011,NON,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,,7167,2011,NON,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,4110101003,4830-3,2010,NON,OUI,15,0.7,3920,0.75,0,0,0,0.495,Moyen,Moyen
LTN3B,meclabi stcs evo 500 ts,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200190901,403,2019,OUI,OUI,6,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,4110130401,2053-1,2013,NON,OUI,12,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,meclabi stcs evo 500 ts,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,4200180406,150,2018,OUI,OUI,7,0.4,3920,0.75,0,0,0,0.315,Bon,Excellent
LTN3B,schafer eps 2001,ET00001170,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142110604,4343,2011,OUI,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,komax bt 752,ET00001072,Crimping Press Wire < 6mm2,Komax--BT-752,vkf,2142211201,717,2021,NON,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,komax bt 752,ET00001072,Crimping Press Wire < 6mm2,Komax--BT-752,vkf,2142190401,568,2019,NON,OUI,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon
LTN3B,komax bt 722,ET00001068,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142200201,1488,2020,NON,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,komax bt 722,ET00001068,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142200804,1487,2022,NON,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,komax bt 722,ET00001068,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142190201,1291,2019,NON,OUI,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon
LTN3B,komax bt 722,ET00001068,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142200805,1423,2021,NON,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,komax bt 722,ET00001068,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142211101,1706,2022,NON,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schafer eps 2001,ET00001170,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142111112,4462,2011,OUI,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,schafer detorsadage,ET00002508,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,vkf,2141210902,127,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schafer detorsadage,ET00002508,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,vkf,21002110121,0721-011,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,
LTN3B,schafer detorsadage,ET00002508,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,vkf,2141221269,150,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,kabatec ktcx 20 (ktb e9p/e19p),ET00001097,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,2143221202,1072,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,kabatec ktcx 20 (ktb e9p/e19p),ET00001097,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,2143221201,1087,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schafer detorsadage,ET00002508,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,vkf,2141210901,126,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schleuniger jacket strip 8400,ET00001196,Stripping Machine,Schleuniger--JS 8400,vkf,,1640,2018,OUI,OUI,7,0.4,3920,0.75,0,0,0,0.315,Bon,Bon
LTN3B,komax mira 230,ET00001080,Stripping Machine,Komax--Mira 230,vkf,2120181103,4199,2018,OUI,OUI,7,0.4,3920,0.75,0,0,0,0.315,Bon,Bon
LTN3B,schafer eps 3000,ET00001178,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142111104,184,2011,OUI,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,mecalbi stcs cs 19 ( tunelle),ET00002498,Shrinking Machine Tunnel,Mecalbi--STCS-CS19,vkf,2200200704,422,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schafer eps 3000,ET00001178,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142090203,139,2009,OUI,OUI,16,0.7,3920,0.75,0,0,0,0.495,Moyen,Moyen
LTN3B,mecalbi stcs rt (navette),ET00001122,Shrinking Machine Shuttle,Mecalbi--STCS-RT,vkf,2200200705,187,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,schafer eps 3000,ET00001178,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142111106,186,2011,OUI,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,hanke 15 tonnes,ET00001035,Crimping Press Wire < 6mm2,Hanke--Crimpmatic 100 014,vkf,2142191001,701/g 23,2019,OUI,OUI,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon
LTN3B,hanke 15 tonnes,ET00001035,Crimping Press Wire < 6mm2,Hanke--Crimpmatic 100 014,vkf,2142191002,701/g 24,2019,OUI,OUI,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon
LTN3B,schafer eps 2001,ET00001170,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142110702,4393,2011,OUI,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,schafer eps 2001,ET00001170,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142110603,4342,2011,OUI,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,schafer eps 2001,ET00001170,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142120803,3961,2011,OUI,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,
LTN3B,schafer eps 2001,ET00001170,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142120607,4576,2011,OUI,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,
LTN3B,schafer eps 3000,ET00001178,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142110508,172,2011,OUI,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,
LTN3B,schafer eps 3000,ET00001178,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142110502,168,2011,OUI,OUI,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen
LTN3B,schafer eps 15000,ET00001168,Crimping Press Cable > 6mm2,Schaefer--EPS 15000,vkf,2142190601,10043,2019,OUI,OUI,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon
LTN3B,schafer eps 15000,ET00001168,Crimping Press Cable > 6mm2,Schaefer--EPS 15000,vkf,2142190602,10042,2019,OUI,OUI,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon
LTN3B,schafer eps 10000,ET00001167,Crimping Press Cable > 6mm2,Schaefer--EPS 10000,vkf,21421100502,217,2010,OUI,OUI,15,0.7,3920,0.75,0,0,0,0.495,Moyen,Moyen
LTN3B,flacara unisold 2100,ET00002789,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2100,vkf,,483,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,flacara unisold 2100,ET00002789,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2100,vkf,,131,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,flacara unisold 2100,ET00002789,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2100,vkf,,40027,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,flacara unisold 2000,ET00001026,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2000,vkf,,321,2017,OUI,OUI,8,0.4,3920,0.75,0,0,0,0.315,Bon,Bon
LTN3B,mecalbi stcs rt (navette),ET00001122,Shrinking Machine Shuttle,Mecalbi--STCS-RT,vkf,8200180605,123,2018,OUI,OUI,7,0.4,3920,0.75,0,0,0,0.315,Bon,Excellent
LTN3B,mecalbi stcs rt (navette),ET00001122,Shrinking Machine Shuttle,Mecalbi--STCS-RT,vkf,2200190201,144,2018,OUI,OUI,7,0.4,3920,0.75,0,0,0,0.315,Bon,Excellent
LTN3B,bain d'étamage hakko,ET00001091,Soldering Bath,LEONI WDEKI--Welding Bath,vkf,2110200601,FX301B,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,
LTN3B,bain d'étamage hakko,ET00001091,Soldering Bath,LEONI WDEKI--Welding Bath,vkf,2110200801,fx300,2018,OUI,OUI,7,0.4,3920,0.75,0,0,0,0.315,Bon,Bon
LTN3B,komax delta 240,ET00001074,Stripping Machine,Komax--Delta 60,vkf,,115,2023,OUI,OUI,2,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,BT 722,ET00001068,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142230901,1746,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,komax mira 340,ET00001080,Stripping Machine,Komax--Mira 230,vkf,,4440,2019,OUI,OUI,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon
LTN3B,kabatec ktcx 20 ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,vkf,4143231001,1202,2023,OUI,OUI,2,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110230201,2740208,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,KTS 50,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,vkf,4200220501,1438,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,MINIC 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,2110120501,5250-1,2019,OUI,OUI,6,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,MINIC 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,8110230704,2824669,2019,OUI,OUI,6,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,MINIC 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210906,2614-6,2021,OUI,OUI,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,mecalbi evo 500 ts,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200200703,223,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,Table de Contrôle Technique TSK TS1500,ET00001604,Test Table,TSK--Test Table,assembly/testing,2145220633,TS1500-402460-3090-94,2023,OUI,OUI,2,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,Table de Contrôle Technique TSK TS1500,ET00001604,Test Table,TSK--Test Table,assembly/testing,2145220801,TS1500-402461-3090-95,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,Table de Contrôle Technique TSK TS1500,ET00001604,Test Table,TSK--Test Table,assembly/testing,2145220605,TS1500-402460-3090-96,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,Table de Contrôle Technique TSK TS1500,ET00001604,Test Table,TSK--Test Table,assembly/testing,2145220821,TS1500-401664-3090-113,2023,OUI,OUI,2,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,lad,ET00000408,Assembly Line DAL / LAD,Vision Industrielle--Assembly Line Lad,assembly/testing,2144190903,65,2020,OUI,OUI,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,Table de Contrôle Technique TSK TS1500,ET00001604,Test Table,TSK--Test Table,assembly/testing,2145220614,TS1500-401664-3090-11,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,Table de Contrôle Technique TSK TS1500,ET00001604,Test Table,TSK--Test Table,assembly/testing,2145220612,TS1500-40166-3090-106,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,Table de Contrôle Technique TSK TS1500,ET00001604,Test Table,TSK--Test Table,assembly/testing,2145220613,TS1500-402460-3090-93,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,Table de Contrôle Technique TSK TS1500,ET00001604,Test Table,TSK--Test Table,assembly/testing,2145220611,TS1500-402460-3090-88,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
LTN3B,Table de Contrôle Technique TSK TS1500,ET00001604,Test Table,TSK--Test Table,assembly/testing,2145211110,TS1500-402460-3090-84,2022,OUI,OUI,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent
